,Temperature,RelativeHumidity
318,32.0,49.0
319,34.0,34.0
320,35.0,28.0
321,35.0,30.0
322,35.0,27.0
323,35.0,25.0
324,34.0,28.0
325,32.0,32.0
326,31.0,36.0
327,31.0,36.0
328,30.0,43.0
329,30.0,43.0
330,29.0,48.0
331,28.0,51.0
332,27.0,54.0
333,26.0,61.0
334,26.0,61.0
335,26.0,65.0
336,26.0,65.0
337,27.0,62.0
338,29.0,52.0
339,31.0,46.0
340,31.0,46.0
341,34.0,39.0
342,35.0,42.0
343,36.0,37.0
344,37.0,35.0
345,37.0,33.0
346,37.0,35.0
347,37.0,35.0
348,36.0,47.0
349,35.0,50.0
350,35.0,50.0
351,32.0,56.0
352,31.0,63.0
353,31.0,66.0
354,30.0,75.0
355,30.0,79.0
356,30.0,75.0
357,30.0,70.0
358,29.0,70.0
359,28.0,79.0
360,28.0,79.0
361,29.0,75.0
362,32.0,56.0
363,33.0,49.0
364,34.0,50.0
365,36.0,37.0
366,36.0,35.0
367,37.0,29.0
368,38.0,27.0
369,37.0,31.0
370,38.0,27.0
371,30.0,52.0
372,23.0,89.0
373,26.0,79.0
374,27.0,79.0
375,28.0,70.0
376,27.0,79.0
377,27.0,79.0
378,26.0,84.0
379,26.0,84.0
380,26.0,84.0
381,26.0,84.0
382,26.0,84.0
383,25.0,89.0
384,25.0,89.0
385,26.0,84.0
386,28.0,70.0
387,30.0,59.0
388,31.0,52.0
389,33.0,46.0
390,34.0,44.0
391,35.0,42.0
392,36.0,39.0
393,37.0,40.0
394,36.6,52.0
395,35.0,44.0
396,29.0,66.0
397,31.0,52.0
398,30.0,52.0
399,29.0,55.0
400,29.0,55.0
401,28.0,58.0
402,27.0,70.0
403,27.0,74.0
404,27.0,79.0
405,27.0,84.0
406,27.0,84.0
407,27.0,84.0
408,27.0,84.0
409,29.0,70.0
410,29.0,70.0
411,30.0,62.0
412,31.0,55.0
413,32.0,49.0
414,33.0,46.0
415,33.0,46.0
416,35.0,42.0
417,36.0,39.0
418,36.0,39.0
419,38.0,31.0
420,36.0,35.0
421,35.0,39.0
422,34.0,41.0
423,34.0,41.0
424,33.0,46.0
425,32.0,52.0
426,32.0,52.0
427,31.0,49.0
428,30.0,52.0
429,29.0,55.0
430,28.0,58.0
431,28.0,58.0
432,28.0,58.0
433,29.0,55.0
434,30.0,52.0
435,33.0,44.0
436,35.0,37.0
437,36.0,42.0
438,36.0,37.0
439,37.0,37.0
440,38.0,33.0
441,39.0,28.0
442,39.0,30.0
443,39.0,30.0
444,39.0,28.0
445,38.0,31.0
446,37.0,40.0
447,36.0,42.0
448,34.0,53.0
449,34.0,60.0
450,34.0,56.0
451,33.0,63.0
452,33.0,63.0
453,31.0,75.0
454,31.0,59.0
455,31.0,63.0
456,30.0,52.0
457,30.0,55.0
458,31.0,55.0
459,35.0,47.0
460,36.0,47.0
461,37.0,37.0
462,38.0,33.0
463,39.0,31.0
464,40.0,28.0
465,40.0,28.0
466,40.0,28.0
467,40.0,28.0
468,40.0,28.0
469,39.0,30.0
470,37.0,33.0
471,36.0,35.0
472,36.0,35.0
473,36.0,35.0
474,36.0,33.0
475,36.0,33.0
476,35.0,34.0
477,35.0,37.0
478,34.0,39.0
479,33.0,41.0
480,31.0,49.0
481,31.0,52.0
482,32.0,46.0
483,35.0,37.0
484,36.0,35.0
485,37.0,35.0
486,39.0,38.0
487,40.0,36.0
488,41.0,34.0
489,41.0,34.0
490,41.0,34.0
491,41.0,34.0
492,41.0,34.0
493,40.0,38.0
494,39.0,43.0
495,38.0,45.0
496,37.0,48.0
497,36.0,50.0
498,35.0,56.0
499,35.0,56.0
500,34.0,60.0
501,33.0,63.0
502,31.0,75.0
503,32.0,63.0
